j,Иероглиф,Земные_ветви,Месяц,сторона_тела,канал,орган
1,子,Крыса,декабрь,левая,Sp,Селезенка
2,丑 ,Бык,январь,левая,Kid,Почки
3,寅,Тигр,февраль,левая,Gb,Желчный Пузырь
4,卯 ,Кролик,март,левая,Bl,Мочевой Пузырь
5,辰,Дракон,апрель,левая,St,Желудок
6,巳,Змея,май,правая,St,Желудок
7,午,Лошадь,июнь,правая,Bl,Мочевой Пузырь
8,未 ,Коза,июль,правая,Gb,Желчный Пузырь
9,申 ,Обезьяна,август,правая,Kid,Почки
10,酉,Петух,сентябрь,правая,Sp,Селезенка
11,戌 ,Собака,октябрь,правая,Liv,Печень
12,亥,Свинья,ноябрь,левая,Liv,Печень
